cohort_definition_id,cohort_name,limit,prior_observation,future_observation,end,number_records,number_subjects
1,2988_ehden_broad_adagrasib_kras_g12c_directed_tyrosine_kinase_inhibitor_rx_final,first,0,0,observation_period_end_date,<5,<5
2,2989_ehden_broad_capecitabine_chemotherapy_antimetabolite_pyrimidine_analog_rx_final,first,0,0,observation_period_end_date,5,5
3,2990_ehden_narrow_cisplatin_chemotherapy_alkylating_agent_platinum_compound_rx_final,first,0,0,observation_period_end_date,<5,<5
4,2991_ehden_broad_dabrafenib_chemotherapy_tyrosine_kinase_inhibitor_braf_inhibitors_drug_final,first,0,0,observation_period_end_date,<5,<5
5,2992_ehden_narrow_nivolumab_single_agent_only_immunotherapy_checkpoint_inhibitor_pd_1_rx_final,first,0,0,observation_period_end_date,<5,<5
6,2993_ehden_broad_pembrolizumab_immunotherapy_checkpoint_inhibitor_pd_1_rx_final,first,0,0,observation_period_end_date,<5,<5
7,2994_ehden_broad_paclitaxel_chemotherapy_antimitotic_agent_taxane_rx_final,first,0,0,observation_period_end_date,10,10
8,2995_ehden_narrow_roa_dexamethasone_corticosteroid_inj_oral_rx_final,first,0,0,observation_period_end_date,76,76
9,2996_ehden_broad_gemcitabine_chemotherapy_antimetabolite_pyrimidine_analog_rx_final,first,0,0,observation_period_end_date,13,13
10,2997_ehden_narrow_fluorouracil_single_agent_chemotherapy_antimetab_pyrimidine_analog_inj_rx_final,first,0,0,observation_period_end_date,26,26
11,2999_ehden_narrow_kras_mutation_detected_idenitfied_observation_final,first,0,0,observation_period_end_date,<5,<5
12,3003_ehden_karnofsky_performance_status_observation_final,first,0,0,observation_period_end_date,<5,<5
13,3008_ehden_narrow_her2_observation_final,first,0,0,observation_period_end_date,<5,<5
14,3009_ehden_narrow_her2_positive_condition_final,first,0,0,observation_period_end_date,<5,<5
15,3010_ehden_narrow_her2_meas_value_final,first,0,0,observation_period_end_date,<5,<5
16,3015_ehden_broad_erlotinib_chemotherapy_tyrosine_kinase_inhibitor_egfr_rx_final,first,0,0,observation_period_end_date,<5,<5
17,3020_ehden_broad_oxaliplatin_chemotherapy_anklyating_agent_platinum_compound_rx_final,first,0,0,observation_period_end_date,10,10
18,3031_ehden_broad_gastrectomy_partial_and_total_procedure_final,first,0,0,observation_period_end_date,<5,<5
19,3032_ehden_pancreatectomy_total_or_subtotal_possible_w_partial_gastrectomy_procedure_final,first,0,0,observation_period_end_date,<5,<5
20,3034_ehden_pancreatic_malig_neopl_not_incl_neuroendocrine_sarcoma_condition_final,first,0,0,observation_period_end_date,26,26
21,3035_ehden_broad_secondary_malignant_neoplasm_metastasis_all_sites_cond_final,first,0,0,observation_period_end_date,163,163
22,3036_ehden_narrow_kras_mutation_positive_meas_value_final,first,0,0,observation_period_end_date,<5,<5
23,3037_ehden_narrow_braf_mutation_results_observation_final,first,0,0,observation_period_end_date,<5,<5
24,3041_ehden_narrow_braf_mutation_condition_final,first,0,0,observation_period_end_date,<5,<5
25,3042_ehden_narrow_brca1_brca2_mutation_positive_observation_final,first,0,0,observation_period_end_date,<5,<5
26,3044_ehden_narrow_brca1_brca2_mutation_positive_cond_final,first,0,0,observation_period_end_date,<5,<5
27,3045_ehden_ecog_observation_final,first,0,0,observation_period_end_date,<5,<5
28,3047_ehden_broad_tnm_tumor_staging_condition_final,first,0,0,observation_period_end_date,<5,<5
29,3048_ehden_tumor_staging_mets_at_diagnosis_observation_final,first,0,0,observation_period_end_date,<5,<5
30,3049_ehden_death_sudden_death_condition_final,first,0,0,observation_period_end_date,<5,<5
31,3050_ehden_death_sudden_death_observation_final,first,0,0,observation_period_end_date,6,6
32,3053_ehden_microsatellite_instability_msi_observation_final,first,0,0,observation_period_end_date,<5,<5
33,3054_ehden_d_mmr_dna_mismatch_repair_observation_final,first,0,0,observation_period_end_date,<5,<5
