vocabulary_id,vocabulary_name,vocabulary_reference,vocabulary_version,vocabulary_concept_id
APC,Ambulatory Payment Classification (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/HospitalOutpatientPPS/Hospital-Outpatient-Regulations-and-Notices.html,2018-January-Addendum-A,44819132
ATC,WHO Anatomic Therapeutic Chemical Classification,http://www.whocc.no/atc_ddd_index/,RxNorm 20200504,44819117
BDPM,Public Database of Medications (Social-Sante),http://base-donnees-publique.medicaments.gouv.fr/telechargement.php,BDPM 20191006,236
Cohort,Legacy OMOP HOI or DOI cohort,OMOP generated,NA,44819123
Cohort Type,OMOP Cohort Type,OMOP generated,NA,44819234
Concept Class,OMOP Concept Class,OMOP generated,NA,44819233
Condition Type,OMOP Condition Occurrence Type,OMOP generated,NA,44819127
CPT4,Current Procedural Terminology version 4 (AMA),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html,2020 Release,44819100
Currency,International Currency Symbol (ISO 4217),http://www.iso.org/iso/home/standards/currency_codes.htm,2008,44819153
Death Type,OMOP Death Type,OMOP generated,NA,44819135
Device Type,OMOP Device Type,OMOP generated,NA,44819151
Domain,OMOP Domain,OMOP generated,NA,44819147
DPD,Drug Product Database (Health Canada),http://open.canada.ca/data/en/dataset/bf55e42a-63cb-4556-bfd8-44f26e5a36fe,DPD 25-JUN-17,231
DRG,Diagnosis-related group (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/AcuteInpatientPPS/Acute-Inpatient-Files-for-Download.html,2011-18-02,44819130
Drug Type,OMOP Drug Exposure Type,OMOP generated,NA,44819126
Ethnicity,OMOP Ethnicity,OMOP generated,NA,44819134
Gemscript,Gemscript (Resip),FDB UK distribution package,Gemscript 2021-02-01,44819144
Gender,OMOP Gender,OMOP generated,NA,44819108
HCPCS,Healthcare Common Procedure Coding System (CMS),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html,2020 Alpha Numeric HCPCS File,44819101
HES Specialty,Hospital Episode Statistics Specialty (NHS),http://www.datadictionary.nhs.uk/data_dictionary/attributes/m/main_specialty_code_de.asp?shownav=0,2018-06-26 HES Specialty,44819145
ICD10,"International Classification of Diseases, Tenth Revision (WHO)",http://www.who.int/classifications/icd/icdonlineversions/en/,2021 Release,44819124
ICD10CM,"International Classification of Diseases, Tenth Revision, Clinical Modification (NCHS)",http://www.cdc.gov/nchs/icd/icd10cm.htm,ICD10CM FY2021 code descriptions,44819098
ICD9CM,"International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 1 and 2 (NCHS)",http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html,ICD9CM v32 master descriptions,5046
ICD9Proc,"International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 3 (NCHS)",http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html,ICD9CM v32 master descriptions,44819099
LOINC,Logical Observation Identifiers Names and Codes (Regenstrief Institute),http://loinc.org/downloads/loinc,2.69,44819102
MDC,Major Diagnostic Categories (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/AcuteInpatientPPS/Acute-Inpatient-Files-for-Download.html,2013-01-06,44819131
Meas Type,OMOP Measurement Type,OMOP generated,NA,44819152
